date,transaction,description,goal,goal_contrabution
1/03/2020,-6.4,VISA DEBIT PURCHASE CARD 0035 BREAD TOP SUNNYBANK SUNNYBANK ,,
2/03/2020,-5.9,VISA DEBIT PURCHASE CARD 0035 HEEL PTY LTD ST LUCIA ,,
2/03/2020,-9.5,VISA DEBIT PURCHASE CARD 0035 ORIGIN KEBABS UQ UNIVERSITY OF ,,
6/03/2020,-3.8,VISA DEBIT PURCHASE CARD 0035 MCDONALDS INDROOPLLY2 INDOOROOPILLY ,,
6/03/2020,-20,VISA DEBIT PURCHASE CARD 0035 TRANSLINK BRISBANE ,,
6/03/2020,-6.12,VISA DEBIT PURCHASE CARD 0035 THE SCHOOL LOCKER OX OXLEY ,,
7/03/2020,8,VISA DEBIT DEPOSIT COLES 4489                SUNNYBANK H ,,
8/03/2020,-8,VISA DEBIT PURCHASE CARD 0035 COLES 4489 SUNNYBANK H ,,
8/03/2020,-15.99,ANZ MOBILE BANKING PAYMENT 123456 TO OPTUSMOBILE,,
9/03/2020,-3,VISA DEBIT PURCHASE CARD 0035 COLES 4489 SUNNYBANK H ,,
9/03/2020,79.06,PAYMENT FROM XX_COMPANY,,
9/03/2020,-20,VISA DEBIT PURCHASE CARD 0035 TRANSLINK BRISBANE ,,
9/03/2020,-37.15,VISA DEBIT PURCHASE CARD 0035 EZI*SNAP FITNESS CLEVELAND DC ,,
10/03/2020,200,PAYMENT FROM JR,,
11/03/2020,-13,VISA DEBIT PURCHASE CARD 0035 KMART 1232 UPP MT GRVT ,,
12/03/2020,8.9,PAYMENT FROM AG food ,,
13/03/2020,-5.5,VISA DEBIT PURCHASE CARD 0035 ART OF SUSHI ST LUCIA ,,
13/03/2020,-17,VISA DEBIT PURCHASE CARD 0035 BURGERURGE ST LUCIA ST LUCIA ,,
13/03/2020,-20,VISA DEBIT PURCHASE CARD 0035 TRANSLINK BRISBANE ,,
13/03/2020,-6.5,VISA DEBIT PURCHASE CARD 0035 GUZMAN Y GOMEZ UNIVER ST LUCIA ,,
13/03/2020,-5.9,VISA DEBIT PURCHASE CARD 0035 HEEL PTY LTD ST LUCIA ,,
15/03/2020,-3.9,VISA DEBIT PURCHASE CARD 0035 UQU BAKERY ST LUCIA ,,
16/03/2020,-8.25,VISA DEBIT PURCHASE CARD 0035 COLES 4489 SUNNYBANK H ,,
17/03/2020,-700,ANZ MOBILE BANKING PAYMENT 355482 TO LANDLORD,,
17/03/2020,-21.8,VISA DEBIT PURCHASE CARD 0035 ROLLING MAN UPPER MOUNT G ,,
18/03/2020,-17.5,VISA DEBIT PURCHASE CARD 0035 HAKATAYA RAMEN BRISBANE ,,
19/03/2020,-50,VISA DEBIT PURCHASE CARD 0035 THE UNIVERSITY OF QUEE ST LUCIA ,,
19/03/2020,-18.3,VISA DEBIT PURCHASE CARD 0035 FISHMONGERS BYRON BAY BYRON BAY ,,
20/03/2020,-50,NON-ANZ ATM WESTPAC                     SUNNYBANK HL ,,
20/03/2020,-42.91,VISA DEBIT PURCHASE CARD 0035 PUMA BEAUDESERT RD COOPERS PLAIN ,,
21/03/2020,-20,VISA DEBIT PURCHASE CARD 0035 TRANSLINK BRISBANE ,,
24/03/2020,10,PAYMENT FROM EK McDonald ,,
24/03/2020,-20.75,VISA DEBIT PURCHASE CARD 0035 MCDONALDS ACACIA RIDG ACACIA RIDGE ,,
25/03/2020,1270,TRANSFER FROM CBA              SIQ PAY DF ,,
28/03/2020,-20.13,VISA DEBIT PURCHASE CARD 0035 HANARO MART SUNNYBANK HIL ,,
30/03/2020,-600,ANZ ATM SUNNYBANK BRANCH         SUNNYBANK    QL ,,
31/03/2020,-30.78,VISA DEBIT PURCHASE CARD 0035 HANARO MART SUNNYBANK HIL ,,
1/04/2020,50,PAYMENT FROM XX_COMPANY,,
3/04/2020,-30,ANZ MOBILE BANKING PAYMENT 406832 TO XXXX,,
5/04/2020,-10.86,EFTPOS COLES 4489               SUNNYBANK H  AU ,,
5/04/2020,-4.95,EFTPOS OFFICEWORKS 0431         UPP MT GRVT  AU ,,
6/04/2020,-15.99,ANZ MOBILE BANKING PAYMENT 123456 TO OPTUSMOBILE,,
8/04/2020,-10,VISA DEBIT PURCHASE CARD 0035 COLES 4489 SUNNYBANK H ,,
10/04/2020,-18.53,VISA DEBIT PURCHASE CARD 0035 PAYPAL *BJ INTERNAT EB 4029357733 ,,
11/04/2020,-2,VISA DEBIT PURCHASE CARD 0035 GOOGLE*YOUTUBE SUPER SYDNEY ,,
13/04/2020,-7.4,EFTPOS COLES 4570               UPP MT GRVT  AU ,,
14/04/2020,-19.96,VISA DEBIT PURCHASE CARD 0035 HANARO MART SUNNYBANK HIL ,,
15/04/2020,-700,ANZ MOBILE BANKING PAYMENT 355482 TO LANDLORD,,
19/04/2020,2335,TRANSFER FROM CBA              SIQ PAY DF ,,
19/04/2020,-29.94,VISA DEBIT PURCHASE CARD 0035 HANARO MART SUNNYBANK HIL ,,
21/04/2020,-10,EFTPOS COLES 4489               SUNNYBANK H  AU ,,
22/04/2020,-12.96,VISA DEBIT PURCHASE CARD 0035 PINE PLAZA FRUIT WORLD SUNNYBANK HIL ,,
24/04/2020,-27.32,VISA DEBIT PURCHASE CARD 0035 7-ELEVEN 4259 ACACIA RIDGE ,,
